temp,feels_like,pressure,humidity,lat,lon,pm10,download_timestamp
-1.65,-3.82,1018,60,49.17035070524409,19.76220706945233,5.95,20260322_095919
0.87,-0.94,1018,60,49.17035070524409,19.802564442853914,5.99,20260322_095919
-0.74,-2.8,1018,60,49.17035070524409,19.842921816255497,5.99,20260322_095920
1.31,-0.42,1019,60,49.17035070524409,19.88327918965708,5.99,20260322_095920
3.86,2.54,1019,60,49.17035070524409,19.923636563058665,5.99,20260322_095920
1.3,-0.39,1019,60,49.17035070524409,19.963993936460252,5.99,20260322_095921
-0.31,-2.28,1019,60,49.17035070524409,20.004351309861836,6.17,20260322_095921
-2.51,-5.46,1019,61,49.17035070524409,20.04470868326342,6.17,20260322_095921
-2.1,-4.98,1019,63,49.17035070524409,20.085066056665003,6.17,20260322_095922
-1.18,-3.91,1019,64,49.17035070524409,20.125423430066586,6.17,20260322_095922
-1.49,-3.65,1018,61,49.18581791334477,19.76220706945233,5.95,20260322_095922
-0.91,-3.0,1018,60,49.18581791334477,19.802564442853914,5.99,20260322_095923
-0.31,-2.31,1018,60,49.18581791334477,19.842921816255497,5.99,20260322_095923
0.78,-1.03,1018,60,49.18581791334477,19.88327918965708,5.99,20260322_095924
1.44,-0.23,1019,60,49.18581791334477,19.923636563058665,5.99,20260322_095924
-0.35,-2.28,1019,60,49.18581791334477,19.963993936460252,5.99,20260322_095924
2.23,0.62,1019,60,49.18581791334477,20.004351309861836,6.17,20260322_095925
-0.81,-3.48,1019,61,49.18581791334477,20.04470868326342,6.17,20260322_095925
0.09,-2.42,1019,64,49.18581791334477,20.085066056665003,6.17,20260322_095925
1.69,-0.56,1019,64,49.18581791334477,20.125423430066586,6.17,20260322_095926
-0.45,-2.42,1018,61,49.20128512144546,19.76220706945233,5.49,20260322_095926
1.9,0.25,1018,61,49.20128512144546,19.802564442853914,5.47,20260322_095926
-0.09,-2.01,1018,61,49.20128512144546,19.842921816255497,5.47,20260322_095927
-0.21,-2.13,1018,61,49.20128512144546,19.88327918965708,5.47,20260322_095927
4.14,2.9,1019,61,49.20128512144546,19.923636563058665,5.47,20260322_095928
0.16,-1.68,1019,61,49.20128512144546,19.963993936460252,5.47,20260322_095928
-0.63,-2.63,1019,61,49.20128512144546,20.004351309861836,5.67,20260322_095928
-2.2,-4.54,1019,61,49.20128512144546,20.04470868326342,5.67,20260322_095929
1.16,-1.18,1019,66,49.20128512144546,20.085066056665003,5.67,20260322_095929
1.65,-0.6,1019,64,49.20128512144546,20.125423430066586,5.67,20260322_095929
-0.45,-2.42,1018,61,49.21675232954614,19.76220706945233,5.49,20260322_095930
1.9,0.25,1018,61,49.21675232954614,19.802564442853914,5.47,20260322_095930
-0.09,-2.01,1018,61,49.21675232954614,19.842921816255497,5.47,20260322_095930
1.57,-0.1,1018,61,49.21675232954614,19.88327918965708,5.47,20260322_095931
1.25,-0.4,1019,61,49.21675232954614,19.923636563058665,5.47,20260322_095931
1.48,-0.17,1019,61,49.21675232954614,19.963993936460252,5.47,20260322_095931
-0.93,-2.97,1019,61,49.21675232954614,20.004351309861836,5.67,20260322_095932
3.06,1.5,1019,61,49.21675232954614,20.04470868326342,5.67,20260322_095932
4.41,2.62,1019,66,49.21675232954614,20.085066056665003,5.67,20260322_095932
0.74,-1.67,1019,66,49.21675232954614,20.125423430066586,5.67,20260322_095933
0.88,-0.83,1018,62,49.23221953764683,19.76220706945233,5.49,20260322_095933
1.94,0.37,1018,61,49.23221953764683,19.802564442853914,5.47,20260322_095934
-0.1,-1.95,1018,61,49.23221953764683,19.842921816255497,5.47,20260322_095934
3.66,2.38,1018,61,49.23221953764683,19.88327918965708,5.47,20260322_095934
-0.42,-2.23,1019,62,49.23221953764683,19.923636563058665,5.47,20260322_095935
0.44,-1.27,1019,62,49.23221953764683,19.963993936460252,5.47,20260322_095935
2.19,0.66,1019,62,49.23221953764683,20.004351309861836,5.67,20260322_095935
-0.52,-2.57,1019,62,49.23221953764683,20.04470868326342,5.67,20260322_095936
4.93,3.37,1019,66,49.23221953764683,20.085066056665003,5.67,20260322_095936
2.93,0.89,1019,66,49.23221953764683,20.125423430066586,5.67,20260322_095936
0.88,-0.83,1018,62,49.24768674574751,19.76220706945233,5.49,20260322_095937
1.94,0.37,1018,61,49.24768674574751,19.802564442853914,5.47,20260322_095937
-0.1,-1.95,1018,61,49.24768674574751,19.842921816255497,5.47,20260322_095937
3.66,2.38,1018,61,49.24768674574751,19.88327918965708,5.47,20260322_095938
0.02,-1.73,1019,62,49.24768674574751,19.923636563058665,5.47,20260322_095938
3.67,2.42,1019,62,49.24768674574751,19.963993936460252,5.47,20260322_095938
2.71,1.25,1019,62,49.24768674574751,20.004351309861836,5.67,20260322_095939
1.7,-0.02,1019,62,49.24768674574751,20.04470868326342,5.67,20260322_095939
4.23,2.56,1019,62,49.24768674574751,20.085066056665003,5.67,20260322_095939
4.95,3.2,1019,66,49.24768674574751,20.125423430066586,5.67,20260322_095940
3.61,2.42,1018,62,49.263153953848196,19.76220706945233,5.49,20260322_095940
1.76,0.3,1018,62,49.263153953848196,19.802564442853914,5.47,20260322_095941
3.26,2.03,1018,62,49.263153953848196,19.842921816255497,5.47,20260322_095941
4.11,3.03,1019,62,49.263153953848196,19.88327918965708,5.47,20260322_095941
2.65,1.38,1019,62,49.263153953848196,19.923636563058665,5.47,20260322_095942
4.5,3.46,1019,62,49.263153953848196,19.963993936460252,5.47,20260322_095942
5.14,4.12,1019,62,49.263153953848196,20.004351309861836,5.67,20260322_095942
4.31,3.04,1019,62,49.263153953848196,20.04470868326342,5.67,20260322_095943
4.72,3.16,1019,62,49.263153953848196,20.085066056665003,5.67,20260322_095943
5.86,4.29,1019,62,49.263153953848196,20.125423430066586,5.67,20260322_095943
4.95,4.1,1019,63,49.27862116194888,19.76220706945233,5.49,20260322_095944
3.58,2.56,1019,63,49.27862116194888,19.802564442853914,5.47,20260322_095944
4.26,3.33,1019,63,49.27862116194888,19.842921816255497,5.47,20260322_095945
4.64,4.64,1019,63,49.27862116194888,19.88327918965708,5.47,20260322_095945
4.63,4.63,1019,63,49.27862116194888,19.923636563058665,5.47,20260322_095945
6.8,6.19,1019,63,49.27862116194888,19.963993936460252,5.47,20260322_095946
5.86,5.03,1019,63,49.27862116194888,20.004351309861836,5.67,20260322_095946
5.49,4.45,1019,63,49.27862116194888,20.04470868326342,5.67,20260322_095946
6.53,5.3,1019,63,49.27862116194888,20.085066056665003,5.67,20260322_095947
6.58,5.16,1019,63,49.27862116194888,20.125423430066586,5.67,20260322_095947
4.95,4.1,1019,63,49.294088370049565,19.76220706945233,5.49,20260322_095947
3.58,2.56,1019,63,49.294088370049565,19.802564442853914,5.47,20260322_095948
4.26,3.33,1019,63,49.294088370049565,19.842921816255497,5.47,20260322_095948
4.64,4.64,1019,63,49.294088370049565,19.88327918965708,5.47,20260322_095948
4.63,4.63,1019,63,49.294088370049565,19.923636563058665,5.47,20260322_095949
5.28,4.47,1019,63,49.294088370049565,19.963993936460252,5.47,20260322_095949
6.97,6.29,1019,63,49.294088370049565,20.004351309861836,5.67,20260322_095950
6.75,5.89,1019,63,49.294088370049565,20.04470868326342,5.67,20260322_095950
6.9,5.73,1019,63,49.294088370049565,20.085066056665003,5.67,20260322_095950
7.01,5.66,1019,63,49.294088370049565,20.125423430066586,5.67,20260322_095951
4.81,4.81,1019,64,49.309555578150245,19.76220706945233,5.49,20260322_095951
4.2,4.2,1019,64,49.309555578150245,19.802564442853914,5.47,20260322_095951
5.02,5.02,1019,64,49.309555578150245,19.842921816255497,5.47,20260322_095952
3.94,3.94,1019,64,49.309555578150245,19.88327918965708,5.47,20260322_095952
3.93,3.93,1019,64,49.309555578150245,19.923636563058665,5.47,20260322_095952
4.14,4.14,1019,64,49.309555578150245,19.963993936460252,5.47,20260322_095953
5.63,4.82,1019,64,49.309555578150245,20.004351309861836,5.67,20260322_095953
7.19,6.46,1019,64,49.309555578150245,20.04470868326342,5.67,20260322_095953
6.18,4.93,1019,63,49.309555578150245,20.085066056665003,5.67,20260322_095954
6.38,4.97,1019,63,49.309555578150245,20.125423430066586,5.67,20260322_095954
-0.75,-2.78,1018,64,49.17035070524409,19.76220706945233,5.95,20260322_102012
1.74,0.06,1018,63,49.17035070524409,19.802564442853914,5.99,20260322_102012
0.09,-1.85,1018,63,49.17035070524409,19.842921816255497,5.99,20260322_102012
2.31,0.72,1018,62,49.17035070524409,19.88327918965708,5.99,20260322_102012
4.86,3.68,1018,62,49.17035070524409,19.923636563058665,5.99,20260322_102012
2.3,0.75,1019,61,49.17035070524409,19.963993936460252,5.99,20260322_102012
0.69,-1.13,1019,61,49.17035070524409,20.004351309861836,6.17,20260322_102012
-1.51,-5.83,1019,53,49.17035070524409,20.04470868326342,6.17,20260322_102012
-1.58,-5.92,1019,58,49.17035070524409,20.085066056665003,6.17,20260322_102012
-0.69,-4.83,1019,59,49.17035070524409,20.125423430066586,6.17,20260322_102012
-0.56,-2.58,1018,65,49.18581791334477,19.76220706945233,5.95,20260322_102012
-0.02,-1.98,1018,64,49.18581791334477,19.802564442853914,5.99,20260322_102012
0.55,-1.32,1018,63,49.18581791334477,19.842921816255497,5.99,20260322_102012
1.78,0.12,1018,63,49.18581791334477,19.88327918965708,5.99,20260322_102012
2.44,0.91,1018,62,49.18581791334477,19.923636563058665,5.99,20260322_102012
0.65,-1.14,1019,62,49.18581791334477,19.963993936460252,5.99,20260322_102012
3.23,1.76,1019,61,49.18581791334477,20.004351309861836,6.17,20260322_102012
0.19,-3.76,1019,53,49.18581791334477,20.04470868326342,6.17,20260322_102012
0.59,-3.27,1019,59,49.18581791334477,20.085066056665003,6.17,20260322_102012
2.16,-1.36,1019,59,49.18581791334477,20.125423430066586,6.17,20260322_102012
0.5,-1.34,1018,65,49.20128512144546,19.76220706945233,5.49,20260322_102012
2.81,1.3,1018,65,49.20128512144546,19.802564442853914,5.47,20260322_102012
0.79,-1.0,1018,64,49.20128512144546,19.842921816255497,5.47,20260322_102012
0.79,-0.99,1018,63,49.20128512144546,19.88327918965708,5.47,20260322_102012
5.14,4.04,1018,63,49.20128512144546,19.923636563058665,5.47,20260322_102012
1.16,-0.54,1019,62,49.20128512144546,19.963993936460252,5.47,20260322_102012
0.37,-1.49,1019,62,49.20128512144546,20.004351309861836,5.67,20260322_102012
-1.2,-3.39,1019,61,49.20128512144546,20.04470868326342,5.67,20260322_102012
1.16,-2.58,1019,64,49.20128512144546,20.085066056665003,5.67,20260322_102012
2.1,-1.43,1019,59,49.20128512144546,20.125423430066586,5.67,20260322_102012
0.5,-1.34,1018,65,49.21675232954614,19.76220706945233,5.49,20260322_102012
2.81,1.3,1018,65,49.21675232954614,19.802564442853914,5.47,20260322_102012
0.79,-1.0,1018,64,49.21675232954614,19.842921816255497,5.47,20260322_102012
2.41,0.87,1018,63,49.21675232954614,19.88327918965708,5.47,20260322_102012
2.25,0.74,1018,63,49.21675232954614,19.923636563058665,5.47,20260322_102012
2.48,0.97,1019,62,49.21675232954614,19.963993936460252,5.47,20260322_102012
0.07,-1.83,1019,62,49.21675232954614,20.004351309861836,5.67,20260322_102012
3.06,1.5,1019,61,49.21675232954614,20.04470868326342,5.67,20260322_102012
4.41,1.38,1019,64,49.21675232954614,20.085066056665003,5.67,20260322_102012
